id,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,isBrick,isConcreteSlab,isPremium,isLowQual,isApartment,isBlock,isTenement,age,predicted_price
b37b641d03dc7d1fd77185a4d39d5253,87.0,3.0,7,14,52.16579,21.0149425,7,3.0,0,1,0,0,0,2,0,1,0,1,0,0,5500,0,0,0,0,0,0,0,19,6205.72355252392
f7f32e31a1e6001c9797e6cbfc896b10,45.0,2.0,3,8,52.22938,20.99075,0,55.0,0,0,0,0,0,1,0,0,0,1,0,0,3850,0,0,0,0,0,1,0,60,3690.557421013771
23ff5674d29144f0a87b3627d6ea2709,115.0,4.0,3,3,52.1950108,20.9852939,4,14.0,0,0,0,0,0,1,0,1,0,1,0,0,8000,1,0,0,0,0,0,1,44,9925.260516777744
9087094edd5e398feab5f121784fa816,46.0,2.0,2,3,52.23214,21.0267,1,43.0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,1,0,0,1,0,80,4637.832892606579
678ba9d0351566120eed512f26d3b0b5,37.0,2.0,4,6,52.2356175,20.9864295,1,72.0,0,0,0,0,0,0,0,1,0,1,0,0,4200,1,0,1,0,1,0,0,4,5541.041445381984
d40f77ce0be042fadbb94141fc68b9af,38.0,2.0,2,3,52.2476236,21.077684,5,37.0,0,1,0,0,0,0,0,0,0,0,0,1,2200,1,0,0,0,0,1,0,86,2960.1492825174823
339e6365eca173a31103e682cd818464,54.0,2.0,3,6,52.2017305,21.0452741,4,16.0,0,0,0,0,0,2,0,0,1,1,0,0,5000,1,0,0,0,1,0,0,9,4157.875410689423
3683ba252e89a63fb148f255a2f171dc,111.0,4.0,4,5,52.1944489,21.0253772,4,22.0,0,0,0,0,0,1,0,0,1,1,0,0,7500,0,0,0,0,0,1,0,70,7583.12056952381
6368451ffcc14e25d4f486d3fd0db4b5,97.0,3.0,2,4,52.23087,21.08259,5,24.0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,26,7399.677410362902
30566ebc26b537fee1247c3f38fde63c,85.7,4.0,6,6,52.2296756,21.0122287,0,113.0,0,0,0,0,0,0,0,0,0,1,0,0,7000,0,0,0,0,0,0,0,64,7516.638738983824
22a4fd140f32415a65d47a556682a30b,97.0,3.0,2,4,52.16459481,21.06990077,8,20.0,0,1,0,0,0,1,0,1,1,1,0,0,6900,1,0,1,0,1,0,0,9,8444.746085771658
f82a8bcc8d207008cec9dc4f57a4056d,70.0,3.0,5,5,52.26292,21.0441,4,17.0,0,0,0,0,0,0,0,0,1,1,1,0,8000,1,0,0,0,1,0,0,1,6782.857364935065
96c15abaec4553c73d8565d8e447cabe,50.0,3.0,5,12,52.23208,20.97939,1,32.0,0,0,0,0,0,1,0,1,1,1,0,0,4999,1,0,0,0,1,0,0,6,5908.387913332429
5ddee09afc82db7ad3758088c46054d1,57.0,2.0,5,8,52.23946925,21.02281912,1,62.0,0,0,0,0,0,0,0,0,1,1,0,1,3300,1,0,0,0,0,1,0,54,4147.229729142228
357beb74c68ddef1aeeb0f2fae459d16,65.0,3.0,2,5,52.24728,20.95453,3,21.0,0,0,0,0,0,0,0,0,1,0,0,0,6500,0,0,0,0,0,0,0,19,5596.278238477603
8f521275ab54af67c9f631912d6fce35,44.0,2.0,4,15,52.2345,20.99179,0,90.0,0,0,0,0,0,0,0,0,1,0,0,0,6300,0,0,0,0,0,0,0,19,5803.455455858207
5c79573ce1cb005da7415f557ba8df06,38.84,2.0,3,4,52.2497877,21.0651067,4,21.0,0,0,0,0,0,0,0,1,1,1,0,0,2800,0,1,1,0,0,1,0,2,3363.8077527046785
4856425a86ee7171e339c70fb58f3e53,78.0,3.0,1,6,52.19291,20.90041,8,24.0,0,2,0,0,0,4,0,0,0,1,0,0,4000,1,0,0,0,1,0,0,16,5282.372
55cb9b51fee917e410e0785fa9eef0e3,59.91,3.0,1,8,52.194444,21.014444,4,27.0,0,0,0,0,0,0,0,0,1,1,0,0,4700,1,0,0,0,1,0,0,7,5588.342515236901
78d7f8f920495db3bf750c0c4d88c843,105.0,4.0,8,14,52.2103359,20.9712206,3,31.0,0,0,0,0,0,0,0,1,0,1,1,0,6900,1,0,0,0,0,0,0,24,8360.945351648352
f42abad65fc8a6dfcddf5d1488ad02ed,54.0,3.0,2,8,52.25127,21.06868,4,15.0,0,0,0,0,0,0,0,1,1,1,0,0,3300,0,0,0,0,0,1,0,17,4102.204725173518
0f6a8a94225deddc2516b15306d5308d,93.0,3.0,2,6,52.2381921,21.0323487,2,39.0,0,0,0,0,0,0,0,1,0,1,0,0,14000,1,0,1,0,1,0,0,12,10129.0634122807
77f2e464ebf1b462bac272a062357750,65.0,2.0,2,4,52.1873218,21.0245528,5,20.0,0,0,0,0,0,1,0,0,1,1,0,1,5500,0,0,0,0,0,1,0,64,3863.542031675342
d7d24c8104060e478370bf6aadfcc8db,54.0,3.0,9,11,52.2576,20.9797,3,26.0,0,0,0,0,0,0,0,1,1,1,1,0,4200,1,0,0,0,1,0,0,5,5731.991974309708
7607c48ae55362ea3849d4eea76d0cbd,62.0,2.0,3,5,52.19226,20.89786,8,22.0,0,2,0,0,0,4,0,0,0,1,0,0,3400,0,0,0,0,0,1,0,24,3757.0988026217997
ea1232487ed9947a008a6c72557a5c47,59.0,3.0,5,12,52.26787,21.05779,5,10.0,0,1,0,0,0,0,0,0,1,1,0,0,3900,0,0,0,0,0,1,0,47,3801.118610722804
05a1067f7104215f6dad1ba453c2a322,52.0,2.0,6,7,52.231389,20.972222,2,40.0,0,0,0,0,0,1,0,1,1,1,0,0,4000,1,0,0,0,1,0,0,11,4490.109058183892
4e079876b6b958680eae42eb158ca70c,86.89,4.0,4,6,52.2285401,20.8903831,7,15.0,0,1,0,0,0,3,0,1,0,1,0,0,5700,0,0,1,0,0,1,0,7,5960.64625
0b36d37ee7c8eaaa60a3e1b1ffeeeff0,36.7,2.0,1,13,52.2750093,20.9629367,5,18.0,0,0,0,0,0,0,0,0,1,1,0,0,2800,1,0,1,0,1,0,0,10,3531.8832169920133
afa9ab3f7a1ddfffdfcf19a58c9a6ff2,62.24,2.0,5,5,52.127754,21.0668283,12,19.0,0,0,0,0,0,1,0,0,1,1,0,0,4500,1,0,0,0,1,0,0,17,4057.9014585296795
965d752ab3d5961fe33143cf791081ec,67.0,3.0,3,5,52.31279,20.92044,10,6.0,0,2,1,0,1,2,1,0,1,1,0,0,4000,0,0,0,0,0,0,0,14,4448.891866666667
f1515cb0ab935449256c774eef1aacf0,46.61,2.0,3,9,52.19058821,21.01675987,4,22.0,0,0,0,0,0,0,0,0,1,1,0,0,3500,1,0,0,0,1,0,0,8,4208.420536705944
