id,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,isBrick,isConcreteSlab,isPremium,isLowQual,isApartment,isBlock,isTenement,age
038fc0257bf5b1b2bb6db7752ca642cd,150.0,6.0,4,4,52.273196,20.9740582,5,26.0,0,0,0,0,0,0,0,0,0,1,0,0,12000,1,0,1,0,1,0,0,21
11ab41d64db2a467693b8a3705e4419e,60.0,2.0,11,13,52.2570765,20.9941809,2,31.0,0,0,0,0,0,0,0,0,1,1,0,0,4400,1,0,1,0,1,0,0,16
70920db90cc1c9b996dfadd446746316,49.89,2.0,2,4,52.1995,21.01361,3,27.0,0,0,0,0,0,0,0,0,1,0,0,1,4500,0,0,0,0,0,0,0,64
4aa2fcbb4e5a033218fc73c16addcccf,74.33,3.0,2,6,52.1867641,21.0637574,6,18.0,0,1,0,0,0,4,0,1,1,1,0,0,4800,1,0,1,0,1,0,0,18
37754e51555b07203e2ba324f0899fa5,69.0,3.0,7,10,52.15304,21.027,8,19.0,0,0,0,0,0,1,0,0,0,1,0,0,4000,0,0,0,0,0,1,0,46
14d2d689314c958ecd324a5ef754bb09,58.0,2.0,7,10,52.2055626,21.0329114,3,23.0,0,0,0,0,0,1,0,1,1,1,0,0,5000,1,0,0,0,1,0,0,15
fe261658f5183df599b9814dd58f8333,120.0,5.0,9,10,52.2394116,20.9888802,1,67.0,0,0,0,0,0,0,0,0,1,1,0,1,7000,1,0,1,0,1,0,0,24
de5cd2fd4d539c42cd97bec3096cba96,75.2,3.0,4,5,52.2288869,21.0051324,0,69.0,0,0,0,0,0,0,0,0,0,1,0,0,7000,1,0,0,0,0,0,0,73
939351a26e222b484a921441c6080cd2,74.0,3.0,2,4,52.15842,21.0781,9,21.0,0,1,0,0,0,1,0,0,1,1,1,0,7000,1,0,0,0,1,0,0,14
a01f7fa099a46f9c10daffd57365b7cf,80.0,3.0,2,4,52.24506,21.06735,4,19.0,0,0,0,0,0,0,0,0,0,0,0,0,11500,0,0,0,0,0,0,0,30
9dbdc3a655a9bfc0dadb9a25297ca17b,111.51,5.0,1,5,52.17799,20.99635,5,25.0,0,0,0,0,0,1,0,0,0,1,0,0,7917,0,0,0,0,0,0,0,18
49b70c223b88a71fa9ca3dbe9d4fa885,49.26,2.0,2,3,52.24532,20.94566,4,30.0,0,0,0,0,0,0,0,0,1,0,0,0,3200,0,0,0,0,0,1,0,74
fc70dc7819edd1a42797380d58ea856e,92.0,3.0,3,6,52.19915,21.01218,3,28.0,0,0,0,0,0,0,0,0,1,1,0,1,7300,1,0,0,0,1,0,0,19
027dfd32b592b24e96df63271a880c6f,83.69,3.0,2,5,52.2385,21.0212,1,71.0,0,0,0,0,0,0,0,0,0,1,0,0,8000,1,0,1,0,0,0,1,88
369f84bd78abcd8f53ad0be03fc4db0c,68.0,3.0,3,5,52.2227,21.0199,1,80.0,0,0,0,0,0,0,0,1,0,1,1,1,5950,1,0,0,0,0,1,0,74
22a61638bb02f1d1c7424cfb3d520c5c,56.9,2.0,1,11,52.29374,21.04757,7,32.0,0,0,0,0,0,2,0,0,1,1,0,0,3900,0,0,0,0,0,1,0,23
572d6e3d0f1e8b8d02242aa4c0fe9df0,42.85,2.0,1,4,52.2208,20.8892,7,0.0,0,0,0,0,0,3,0,1,1,1,1,0,3450,1,0,0,0,1,0,0,2
ebe5c98a42f6fe03ddc8ff8d01c79070,52.45,2.0,3,5,52.2043435,20.9965113,3,19.0,0,0,0,0,0,0,0,1,1,1,0,0,3772,1,0,0,0,1,0,0,17
71751a7b21ef97e059abdbb323563f58,120.0,4.0,3,6,52.2340161,21.0303644,1,31.0,0,0,0,0,0,0,0,1,0,1,0,0,14000,1,0,0,0,1,0,0,22
60a9bc6d8d2da68bebee4be59b05aeb1,100.0,3.0,3,4,52.1656382,21.07752892,8,26.0,0,1,0,0,0,2,0,1,1,1,0,0,5200,1,0,1,0,1,0,0,18
beb78164536c9e35b72732daccc7dece,76.0,3.0,6,7,52.2448079,20.9599192,3,20.0,0,0,0,0,0,1,0,1,1,1,0,0,5300,1,0,0,0,1,0,0,11
63b9cbe1e019dcdff56977a53d0345a6,38.0,2.0,6,9,52.2332283,21.03357219,2,26.0,0,0,0,0,0,0,0,0,1,1,0,0,2600,0,1,1,0,0,1,0,54
e22894515a167ae25fb337c02dcc629e,127.0,5.0,3,12,52.222906,20.9821169,1,30.0,0,0,0,0,0,1,0,0,1,1,0,0,9000,0,0,0,0,0,0,0,26
25c3f9a0b246a436d10b7d1563032466,56.0,2.0,3,11,52.23161,21.08525,5,20.0,0,0,0,0,0,0,0,1,0,1,0,0,3700,1,0,0,0,1,0,0,23
7fa6291613bfa93ecb0c40fe1fef702f,36.0,2.0,2,3,52.2861984,21.0785932,7,16.0,0,1,0,0,0,0,0,0,0,1,0,0,2999,1,0,0,0,1,0,0,23
719e8767aa0a09ab7fb1fef972879006,95.0,4.0,3,4,52.22828,21.10563,6,12.0,0,0,0,0,0,1,0,0,1,1,0,0,6300,1,0,0,0,1,0,0,20
f7999f2044df5fa6d6c49d01c791276b,43.0,2.0,13,14,52.23015,20.9696,2,30.0,0,0,0,0,0,1,0,0,0,1,0,0,4200,1,0,0,0,1,0,0,49
47e0525c22e9912d9279cfc15c3181c8,65.0,4.0,1,8,52.18405795,21.00778198,5,18.0,0,0,0,0,0,0,0,1,1,1,0,0,5360,0,0,0,0,0,1,0,7
291ab608f1491189cb5d5e26903da37e,56.0,2.0,4,5,52.1974,21.0135,3,25.0,0,0,0,0,0,0,0,0,0,1,0,0,3800,1,0,1,0,0,0,1,74
6af72cff83196b16c349ef1739473ac6,108.0,4.0,1,4,52.15849,21.07563,9,22.0,0,1,0,0,0,1,0,0,1,1,1,0,10500,1,0,0,0,1,0,0,6
d8847b0a1484f2d1fdf36d786ef5d9f7,118.0,4.0,3,6,52.2402555,21.0000517,0,56.0,0,0,0,0,0,0,0,0,1,1,0,0,9000,1,0,0,0,1,0,0,26
3ebce71bbc7a305314f5537a90521681,100.0,3.0,2,4,52.1609301,21.0693875,9,26.0,0,1,0,0,0,1,0,0,1,1,0,0,7500,1,0,1,0,1,0,0,15
622af1070eca01c371c5b256fb680b91,43.0,2.0,3,3,52.24735305,21.01008331,1,95.0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,64
da98b25af3ad7f62e5e0a0f5419a4f5a,62.0,3.0,5,6,52.21529045,20.96826726,3,25.0,0,0,0,0,0,0,0,1,1,1,0,0,5900,1,0,1,0,1,0,0,11
